id,lat,long,description,full_address,source,created_at,updated_at,address,polygon,street_number,street_name,locality,postal_code,sub_locality,admin_levels,country,country_code,timezone,raw
9317,42.3898172,-71.0393485,,"188 broadway b",,"2016-12-19 14:17:01","2016-12-19 14:17:02",,"{""south"":42.3898172,""west"":-71.03936,""north"":42.3898281,""east"":-71.0393485}",188,Broadway,Chelsea,02150,Massachusetts,,"United States",US,,
9318,42.3904839,-71.0350242,,"174 central avenue 2",,"2016-12-19 14:17:02","2016-12-19 14:17:03",,"{""south"":42.3904839,""west"":-71.0350242,""north"":42.3904839,""east"":-71.0350242}",2,"Central Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9319,42.391114,-71.033686,,"147 shurtleff street 2",,"2016-12-19 14:17:03","2016-12-19 14:17:04",,"{""south"":42.391114,""west"":-71.033686,""north"":42.391114,""east"":-71.033686}",147,"Shurtleff Street",Chelsea,02150,Massachusetts,,"United States",US,,
9320,42.3928632,-71.0423026,,"127 grove street 2",,"2016-12-19 14:17:04","2016-12-19 14:17:04",,"{""south"":42.3928632,""west"":-71.0423026,""north"":42.392872,""east"":-71.0422881}",127,"2nd Street",Chelsea,02150,Massachusetts,,"United States",US,,
9321,42.3913922,-71.0353579,,"9 fourth street 2",,"2016-12-19 14:17:05","2016-12-19 14:17:05",,"{""south"":42.3913922,""west"":-71.0353579,""north"":42.3913922,""east"":-71.0353579}",9,"4th Street",Chelsea,02150,Massachusetts,,"United States",US,,
9322,42.396932,-71.024272,,"5 eleanor street",,"2016-12-19 14:17:06","2016-12-19 14:17:07",,"{""south"":42.396932,""west"":-71.024272,""north"":42.396932,""east"":-71.024272}",5,"Eleanor Street",Chelsea,02150,Massachusetts,,"United States",US,,
9323,42.3874227,-71.0442576,,"9 broadway 2",,"2016-12-19 14:17:07","2016-12-19 14:17:08",,"{""south"":42.3874107,""west"":-71.0442576,""north"":42.3874227,""east"":-71.0442483}",9,Broadway,Chelsea,02150,Massachusetts,,"United States",US,,
9324,42.3903085,-71.0387073,,"220 broadway 2",,"2016-12-19 14:17:09","2016-12-19 14:17:10",,"{""south"":42.3903085,""west"":-71.0387073,""north"":42.3903085,""east"":-71.0387073}",220,Broadway,Chelsea,02150,Massachusetts,,"United States",US,,
11731,,,,"4 franklin avenue 1a r",,"2016-12-19 20:59:21","2016-12-19 20:59:21",,,,,,,,,,,,
11732,,,,"63 washington avenue 105",,"2016-12-19 20:59:31","2016-12-19 20:59:31",,,,,,,,,,,,
