tag_id,property_id,created_at,updated_at,deleted_at,created_by,deleted_by
43,18106,"2016-09-14 16:00:56","2016-09-14 16:00:56",,11,
33,17548,"2016-09-07 19:44:25","2016-09-07 19:44:25",,11,
29,16914,"2016-09-07 19:45:30","2016-09-07 19:45:30",,11,
62,2112,"2016-11-14 20:55:05","2016-11-14 20:55:05",,11,
43,836,"2016-09-14 15:53:47","2016-09-14 15:53:47","2016-10-12 18:11:26",11,11
64,2112,"2016-11-14 20:56:28","2016-11-14 20:56:28",,11,
20,64,"2016-08-04 15:00:06","2016-08-04 15:00:06","2016-09-14 13:55:39",11,11
20,2276,"2016-08-04 15:09:56","2016-08-04 15:09:56","2016-09-14 14:06:39",11,11
29,64,"2016-09-07 20:03:56","2016-09-07 20:03:56",,11,
64,1228,"2016-11-14 21:01:01","2016-11-14 21:01:01",,11,
29,15660,"2016-09-07 20:04:53","2016-09-07 20:04:53",,11,
29,16242,"2016-09-07 20:07:39","2016-09-07 20:07:39",,11,
29,9939,"2016-09-07 20:09:14","2016-09-07 20:09:14",,11,
29,2276,"2016-09-07 20:10:52","2016-09-07 20:10:52",,11,
29,7603,"2016-09-07 20:12:06","2016-09-07 20:12:06",,11,
64,18545,"2016-11-14 21:04:23","2016-11-14 21:04:23",,11,
64,15631,"2016-11-14 21:11:31","2016-11-14 21:11:31",,11,
29,10064,"2016-09-07 19:04:57","2016-09-07 19:04:57","2016-09-07 20:48:30",11,11
64,3291,"2016-08-03 14:58:42","2016-08-03 14:58:42",,11,
64,1211,"2016-08-03 15:01:47","2016-08-03 15:01:47",,11,
20,186,"2016-09-07 20:50:11","2016-09-07 20:50:11",,11,
64,1451,"2016-08-03 15:45:52","2016-08-03 15:45:52",,11,
11,9888,"2016-09-07 20:52:32","2016-09-07 20:52:32",,11,
64,1856,"2016-08-03 15:47:45","2016-08-03 15:47:45",,11,
20,16242,"2016-08-04 15:04:11","2016-08-04 15:04:11","2016-09-14 15:28:26",11,11
