id,upload_id,property_id,row_labels,total,created_at,updated_at,raw
119,58,15433,"108 WILLIAMS ST",10,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":119,""upload_id"":58,""property_id"":15433,""row_labels"":""108 WILLIAMS ST"",""total"":10,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
123,58,702,"109 CLINTON ST",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":123,""upload_id"":58,""property_id"":702,""row_labels"":""109 CLINTON ST"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
126,58,705,"109 ESSEX ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":126,""upload_id"":58,""property_id"":705,""row_labels"":""109 ESSEX ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
130,58,712,"11 (1/2) JOHN ST",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":130,""upload_id"":58,""property_id"":712,""row_labels"":""11 (1\/2) JOHN ST"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
132,58,717,"11 CHEEVER ST",4,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":132,""upload_id"":58,""property_id"":717,""row_labels"":""11 CHEEVER ST"",""total"":4,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
136,58,723,"11 FRANKLIN AV",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":136,""upload_id"":58,""property_id"":723,""row_labels"":""11 FRANKLIN AV"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
139,58,732,"11 JOHN ST",5,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":139,""upload_id"":58,""property_id"":732,""row_labels"":""11 JOHN ST"",""total"":5,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
143,58,739,"11 MARGINAL ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":143,""upload_id"":58,""property_id"":739,""row_labels"":""11 MARGINAL ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
146,58,745,"11 ORANGE ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":146,""upload_id"":58,""property_id"":745,""row_labels"":""11 ORANGE ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
150,58,748,"11 WATTS ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":150,""upload_id"":58,""property_id"":748,""row_labels"":""11 WATTS ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
